,기업,연도,자산총계,부채총계,자본총계,매출액,영업이익,당기순이익
110,HJ중공업,2020,"2,193,855,000,000","1,873,852,000,000","320,003,000,000","1,695,815,000,000","51,629,000,000","78,346,000,000"
111,HJ중공업,2019,"2,470,222,000,000","2,225,228,000,000","244,994,000,000","1,628,751,000,000","83,839,000,000","306,169,000,000"
112,HL D&I,2021,"1,521,351,990,525","1,104,826,105,380","416,525,885,145","1,475,299,061,534","78,587,300,029","99,926,469,194"
113,HL D&I,2020,"1,653,568,577,954","1,279,380,184,054","374,188,393,900","1,550,877,044,212","89,789,194,057","109,895,931,842"
114,HL D&I,2019,"1,588,187,042,242","1,327,117,098,175","261,069,944,067","1,292,444,601,074","63,553,472,712","2,723,762,874"
115,HLB글로벌,2021,"163,865,354,144","50,506,519,752","113,358,834,392","45,046,153,029","-13,342,319,872","-13,082,245,477"
116,HLB글로벌,2020,"130,769,262,935","57,149,140,836","73,620,122,099","35,376,821,510","-14,183,096,101","-29,566,508,141"
117,HLB글로벌,2019,"129,401,748,880","48,334,755,664","81,066,993,216","30,027,700,209","5,702,285,149","-22,868,904,682"
118,HL만도,2021,"5,704,365,860,108","3,660,109,900,441","2,044,255,959,667","6,147,433,112,950","232,312,044,666","178,615,842,352"
119,HL만도,2020,"4,938,346,284,697","3,228,765,245,944","1,709,581,038,753","5,563,504,491,650","88,701,330,636","13,861,437,600"
120,HL만도,2019,"4,595,620,752,355","3,010,006,243,656","1,585,614,508,699","5,981,877,182,405","218,566,072,916","118,239,649,304"
121,HL홀딩스,2021,"2,294,958,466,711","1,280,483,945,194","1,014,474,521,517","1,041,158,412,406","139,896,491,686","106,178,135,146"
122,HL홀딩스,2020,"1,961,514,202,619","1,074,612,373,553","886,901,829,066","735,797,639,327","90,746,195,580","44,095,656,585"
123,HL홀딩스,2019,"1,760,403,390,796","874,308,075,226","886,095,315,570","798,365,158,872","75,417,771,989","41,062,916,054"
124,HMM,2021,"17,876,100,000,000","7,517,806,000,000","10,358,294,000,000","13,794,148,000,000","7,377,522,000,000","5,337,151,000,000"
125,HMM,2020,"9,373,360,000,000","7,684,812,000,000","1,688,548,000,000","6,413,270,000,000","980,781,000,000","123,966,000,000"
126,HMM,2019,"7,160,187,000,000","6,069,878,000,000","1,090,309,000,000","5,513,089,000,000","-299,694,000,000","-589,835,000,000"
127,HSD엔진,2021,"795,624,726,289","586,523,408,202","209,101,318,087","598,999,092,899","-39,778,154,646","-39,738,223,201"
128,HSD엔진,2020,"723,300,346,064","529,172,496,802","194,127,849,262","829,994,723,288","20,020,539,457","6,048,165,320"
129,HSD엔진,2019,"830,139,139,349","641,618,851,202","188,520,288,147","674,278,133,124","-21,837,810,975","-41,444,357,903"
130,HS애드,2021,"564,897,384,473","403,733,028,471","161,164,356,002","458,497,770,493","22,247,918,898","17,307,682,640"
131,HS애드,2020,"530,366,843,134","385,037,787,511","145,329,055,622","375,617,022,738","25,274,130,574","9,037,544,725"
132,HS애드,2019,"503,688,015,263","360,775,441,451","142,912,573,812","542,087,210,968","21,891,878,780","15,258,857,126"
133,JB금융지주,2019,,,,,,
134,JW생명과학,2021,"218,725,051,539","87,974,591,257","130,750,460,282","169,816,950,012","28,416,710,564","12,172,061,364"
135,JW생명과학,2020,"214,402,015,696","81,908,138,577","132,493,877,119","183,521,045,082","39,450,540,332","17,300,052,453"
136,JW생명과학,2019,"201,403,949,401","78,788,450,485","122,615,498,916","170,220,779,246","29,748,961,849","21,938,439,038"
137,JW중외제약,2021,"633,053,136,402","444,513,606,704","188,539,529,698","606,584,944,778","31,199,849,285","-1,441,453,468"
138,JW중외제약,2020,"549,085,028,575","341,618,154,369","207,466,874,205","547,335,707,795","-1,322,981,932","-15,275,470,497"
139,JW중외제약,2019,"573,207,865,158","343,116,046,194","230,091,818,964","511,335,342,733","-19,013,830,488","-25,275,015,882"
140,JW홀딩스,2021,"1,065,779,475,044","760,956,330,503","304,823,144,541","788,936,980,895","68,728,818,585","4,434,634,082"
141,JW홀딩스,2020,"1,113,573,849,001","789,222,442,962","324,351,406,039","781,514,840,023","37,328,838,793","3,385,179,568"
142,JW홀딩스,2019,"1,226,595,424,776","891,301,821,010","335,293,603,766","728,081,858,608","6,014,833,499","-27,869,131,523"
143,KB금융,2019,,,,,,
144,KC그린홀딩스,2021,"906,605,618,427","646,639,158,815","259,966,459,612",,"20,403,955,271","9,793,621,075"
145,KC그린홀딩스,2020,"776,133,685,180","546,084,292,357","230,049,392,823",,"-47,920,726,519","-78,918,168,769"
146,KC그린홀딩스,2019,"816,143,779,044","521,778,676,607","294,365,102,437",,"21,512,406,420","14,327,973,321"
147,KC코트렐,2021,"385,076,959,540","335,125,784,942","49,951,174,598","355,034,769,777","4,647,615,173","11,964,972,231"
148,KC코트렐,2020,"281,917,548,946","269,571,481,879","12,346,067,067","327,908,708,731","-44,693,530,573","-63,911,087,373"
149,KC코트렐,2019,"332,019,580,962","255,790,882,588","76,228,698,374","300,551,682,231","8,504,680,068","674,316,491"
150,KEC,2021,"400,589,167,116","121,440,786,125","279,148,380,991","267,472,591,083","26,525,638,383","10,173,157,277"
151,KEC,2020,"368,345,953,226","199,573,552,705","168,772,400,521","201,046,480,872","-2,337,589,190","-44,855,951,090"
152,KEC,2019,"334,212,514,493","120,251,347,214","213,961,167,279","201,729,382,347","-6,954,032,912","-19,726,091,295"
153,KG모빌리티,2021,,"1,943,566,581,588",,"2,429,327,700,801","-261,260,796,567","-257,944,414,695"
154,KG모빌리티,2020,,"1,856,750,686,612",,"2,950,180,719,134","-449,388,656,761","-504,340,966,567"
155,KG모빌리티,2019,,"1,616,083,585,232",,"3,623,882,266,268","-281,905,360,065","-341,364,140,265"
156,KG스틸,2021,"2,771,098,268,254","1,620,934,715,289","1,150,163,552,965","3,354,789,186,331","296,911,904,979","190,707,950,937"
157,KG스틸,2020,"2,257,720,824,135","1,285,016,838,609","972,703,985,526","2,342,443,590,900","110,778,751,212","66,893,129,338"
158,KG스틸,2019,"2,355,272,181,531","1,465,811,581,194","889,460,600,337","2,428,250,197,414","34,639,840,274","-33,537,540,472"
159,KG케미칼,2021,"4,884,892,280,208","3,097,379,164,414","1,787,513,115,794","4,931,505,172,315","467,167,837,233","281,961,177,811"
160,KG케미칼,2020,"4,323,538,345,059","2,815,857,533,956","1,507,680,811,103","3,686,350,351,629","242,958,171,678","154,664,333,468"
161,KG케미칼,2019,"4,151,542,217,468","2,799,967,271,529","1,351,574,945,939","2,068,395,230,839","117,974,346,288","219,341,422,536"
162,KH 필룩스,2021,"539,371,447,061","112,111,273,037","427,260,174,024","120,192,177,920","-6,919,980,188","-1,715,811,782"
163,KH 필룩스,2020,"383,138,673,115","113,136,205,779","270,002,467,336","118,815,500,733","57,089,312","-47,132,145,215"
164,KH 필룩스,2019,"416,767,817,304","144,383,183,981","272,384,633,323","135,103,559,379","2,903,591,697","-11,683,952,086"
165,KIB플러그에너지,2021,"165,866,104,199","67,845,866,319","98,020,237,880","80,705,226,869","-14,968,117,999","-13,018,202,749"
166,KIB플러그에너지,2020,"197,708,845,052","90,342,468,342","107,366,376,710","124,944,879,722","9,583,311,143","1,340,474,213"
167,KIB플러그에너지,2019,"217,020,141,543","119,240,656,535","97,779,485,008","147,117,472,430","19,782,502,007","3,181,372,267"
168,KISCO홀딩스,2021,"1,688,093,089,026","267,377,534,330","1,420,715,554,696","1,580,849,338,970","200,741,467,324","178,382,902,845"
169,KISCO홀딩스,2020,"1,564,589,806,575","229,774,076,093","1,334,815,730,482","1,064,569,447,471","82,681,994,091","36,484,193,702"
170,KISCO홀딩스,2019,"1,557,313,864,152","229,757,769,791","1,327,556,094,361","1,182,987,793,632","57,567,232,117","62,889,043,323"
171,KPX케미칼,2021,"777,143,203,509","199,075,057,541","578,068,145,968","1,020,786,100,790","44,680,350,533","49,247,707,872"
172,KPX케미칼,2020,"637,003,840,185","103,372,859,292","533,630,980,893","746,662,323,231","64,118,011,388","64,416,144,900"
173,KPX케미칼,2019,"537,885,808,227","55,559,441,923","482,326,366,304","765,712,141,954","48,429,544,337","43,054,876,050"
174,KPX홀딩스,2021,"1,814,858,039,334","445,438,442,973","1,369,419,596,361","1,238,702,229,927","54,144,022,659","82,325,362,935"
175,KPX홀딩스,2020,"1,698,659,220,590","361,946,206,728","1,336,713,013,862","953,179,618,487","79,113,691,493","194,061,322,521"
176,KPX홀딩스,2019,"1,448,992,399,555","267,661,516,991","1,181,330,882,564","972,702,906,470","63,379,134,143","75,765,290,839"
177,KR모터스,2021,"168,436,811,482","118,211,175,186","50,225,636,296","133,510,437,922","-2,697,618,022","-11,924,557,643"
178,KR모터스,2020,"155,873,460,967","106,028,407,315","49,845,053,652","117,834,375,061","1,219,023,916","-11,486,011,938"
179,KR모터스,2019,"144,081,159,835","108,871,143,114","35,210,016,721","132,579,261,122","-24,650,440,438","-41,041,685,086"
180,KSS해운,2021,"1,446,228,922,766","1,103,404,278,356","342,824,644,410","324,001,266,815","58,089,120,996","56,071,252,425"
181,KSS해운,2020,"1,069,527,677,719","800,671,676,634","268,856,001,085","226,181,167,041","50,731,188,402","13,129,120,727"
182,KSS해운,2019,"957,238,168,720","676,238,454,283","280,999,714,437","231,240,042,004","52,771,937,110","23,435,296,380"
183,KTcs,2021,"416,750,372,360","234,171,975,254","182,578,397,106","965,721,215,198","21,037,346,745","19,034,234,222"
184,KTcs,2020,"384,918,648,498","215,174,666,109","169,743,982,389","931,703,674,263","17,868,419,670","11,323,278,275"
185,KTcs,2019,"378,104,045,980","213,983,162,684","164,120,883,296","944,861,712,920","11,346,695,683","7,530,106,676"
186,KTis,2021,"369,360,805,550","177,618,511,970","191,742,293,580","468,004,263,986","14,405,202,066","24,944,162,467"
187,KTis,2020,"294,288,884,757","126,893,637,851","167,395,246,906","453,639,144,631","9,002,862,020","7,387,478,525"
188,KTis,2019,"311,822,912,174","143,550,654,554","168,272,257,620","451,026,612,732","13,757,325,441","9,203,428,102"
189,LF,2021,"2,541,137,894,593","1,042,768,391,210","1,498,369,503,383","1,793,103,979,720","158,865,864,141","136,154,462,569"
190,LF,2020,"2,479,439,883,815","1,065,019,216,335","1,414,420,667,480","1,610,459,972,097","77,067,170,451","28,596,029,890"
191,LF,2019,"2,417,125,014,216","1,025,585,468,436","1,391,539,545,780","1,851,716,801,127","87,533,142,027","69,449,582,944"
192,LG,2021,"25,669,796,000,000","3,729,575,000,000","21,940,221,000,000","6,859,010,000,000","2,460,104,000,000","2,683,974,000,000"
193,LG,2020,"24,282,268,000,000","3,420,978,000,000","20,861,290,000,000","5,199,070,000,000","1,586,056,000,000","1,540,658,000,000"
194,LG,2019,"22,434,630,000,000","3,413,609,000,000","19,021,021,000,000","4,427,534,000,000","841,193,000,000","1,106,755,000,000"
195,LG디스플레이,2021,"38,154,515,000,000","23,392,014,000,000","14,762,501,000,000","29,878,043,000,000","2,230,608,000,000","1,333,544,000,000"
196,LG디스플레이,2020,"35,066,012,000,000","22,334,584,000,000","12,731,428,000,000","24,261,561,000,000","-36,465,000,000","-76,147,000,000"
197,LG디스플레이,2019,"35,574,563,000,000","23,086,282,000,000","12,488,281,000,000","23,475,567,000,000","-1,359,382,000,000","-2,872,078,000,000"
198,LG생활건강,2021,"7,555,239,417,717","2,057,406,606,361","5,497,832,811,356","8,091,511,297,961","1,289,630,423,605","861,127,851,880"
199,LG생활건강,2020,"6,801,415,783,710","1,952,220,084,845","4,849,195,698,865","7,844,506,057,131","1,220,864,731,311","813,101,140,024"
200,LG생활건강,2019,"6,493,669,662,971","2,256,581,997,835","4,237,087,665,136","7,685,424,230,297","1,176,411,246,904","788,173,092,234"
201,LG유플러스,2021,"19,370,515,000,000","11,411,957,000,000","7,958,558,000,000","13,851,135,000,000","979,014,000,000","724,218,000,000"
202,LG유플러스,2020,"18,350,190,000,000","10,698,976,000,000","7,651,214,000,000","13,417,627,000,000","886,151,000,000","478,065,000,000"
203,LG유플러스,2019,"17,941,050,000,000","10,591,434,000,000","7,349,616,000,000","12,381,969,000,000","686,244,000,000","438,831,000,000"
204,LG이노텍,2021,"7,741,352,841,297","4,427,146,647,365","3,314,206,193,932","14,945,609,219,058","1,264,223,240,881","888,282,436,433"
205,LG이노텍,2020,"6,038,600,271,628","3,610,912,434,530","2,427,687,837,098","9,541,789,540,547","681,019,009,060","236,127,867,008"
206,LG이노텍,2019,"5,770,780,509,572","3,566,176,252,062","2,204,604,257,510","7,975,366,478,638","476,352,883,489","102,300,470,956"
207,LG전자,2021,"53,481,478,000,000","33,383,445,000,000","20,098,033,000,000","74,721,629,000,000","3,863,774,000,000","1,414,972,000,000"
208,LG전자,2020,"48,204,227,000,000","30,662,102,000,000","17,542,125,000,000","58,057,908,000,000","3,905,108,000,000","2,063,790,000,000"
209,LG전자,2019,"44,859,875,000,000","28,434,737,000,000","16,425,138,000,000","56,435,703,000,000","3,293,329,000,000","179,948,000,000"
210,LG헬로비전,2021,"1,488,116,032,317","835,732,530,156",,"1,080,132,280,928","44,492,025,603","26,921,862,454"
211,LG헬로비전,2020,"1,472,721,455,548","841,615,540,357",,"1,057,934,695,627","34,150,119,189","-312,793,599,147"
212,LG헬로비전,2019,"1,790,671,377,931","839,364,024,702",,"1,112,180,458,963","29,249,461,527","-94,231,348,080"
